Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,salary,Salary_USD,Remote_Friendly,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,High,UX/UI Design,9356941.88,111392.1652,Yes,Growth
Marketing Specialist,Technology,Large,Singapore,Medium,High,Marketing,7878575.247,93792.56247,No,Decline
AI Researcher,Technology,Large,Singapore,Medium,High,UX/UI Design,9002302.098,107170.2631,Yes,Growth
Sales Manager,Retail,Small,Berlin,Low,High,Project Management,7814348.116,93027.95376,No,Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,Low,JavaScript,7371245.462,87752.92217,Yes,Decline
UX Designer,Education,Large,San Francisco,Medium,Medium,Cybersecurity,8637300.661,102825.0079,No,Growth
HR Manager,Finance,Medium,Singapore,Low,High,Sales,8573520.537,102065.7207,Yes,Growth
Cybersecurity Analyst,Technology,Small,Dubai,Medium,Low,Machine Learning,7275014.68,86607.31762,Yes,Decline
AI Researcher,Retail,Large,London,High,Low,JavaScript,6301332.311,75015.86085,No,Stable
Sales Manager,Entertainment,Medium,Singapore,High,Low,Cybersecurity,8134104.577,96834.57829,Yes,Decline
Marketing Specialist,Finance,Small,London,High,High,Python,7691625.764,91566.97338,Yes,Growth
AI Researcher,Entertainment,Medium,Singapore,Medium,High,UX/UI Design,6627815.523,78902.56574,No,Growth
AI Researcher,Transportation,Large,San Francisco,High,Medium,Python,6144767.189,73151.99035,Yes,Growth
HR Manager,Retail,Small,Paris,Low,High,Cybersecurity,8249599.418,98209.51688,Yes,Decline
Product Manager,Finance,Medium,Singapore,High,High,JavaScript,8484159.696,101001.9011,Yes,Growth
Sales Manager,Telecommunications,Small,Dubai,High,Low,UX/UI Design,6955146.047,82799.35771,No,Growth
Software Engineer,Manufacturing,Medium,Singapore,High,Medium,Machine Learning,6585705.78,78401.25928,No,Decline
AI Researcher,Manufacturing,Large,Tokyo,Low,High,Project Management,6165171.282,73394.89622,No,Stable
Product Manager,Finance,Large,San Francisco,Medium,High,UX/UI Design,8202188.298,97645.09878,Yes,Stable
Software Engineer,Entertainment,Small,Dubai,Low,Low,UX/UI Design,6209318.516,73920.45853,Yes,Growth
Sales Manager,Retail,Medium,Sydney,Medium,Low,JavaScript,11325106.08,134822.6914,Yes,Decline
Data Scientist,Manufacturing,Small,Dubai,Medium,High,JavaScript,6870727.188,81794.37128,Yes,Growth
UX Designer,Retail,Small,Tokyo,High,Medium,Cybersecurity,3485640.013,41495.71444,No,Decline
Product Manager,Manufacturing,Medium,Paris,Medium,Medium,Data Analysis,7509311.6,89396.56667,Yes,Decline
Operations Manager,Transportation,Medium,San Francisco,Low,Low,UX/UI Design,7437303.754,88539.3304,Yes,Stable
Data Scientist,Entertainment,Medium,Sydney,Low,Low,Sales,9427687.193,112234.3714,Yes,Stable
UX Designer,Transportation,Large,Tokyo,Medium,High,UX/UI Design,8044052.078,95762.52473,No,Decline
HR Manager,Manufacturing,Small,Tokyo,High,Low,Cybersecurity,6159156.892,73323.29633,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,New York,High,High,Marketing,7078861.653,84272.16253,Yes,Stable
Marketing Specialist,Telecommunications,Large,San Francisco,Low,Medium,Python,8110065.216,96548.39543,Yes,Growth
Operations Manager,Transportation,Medium,Dubai,High,Medium,Project Management,3923280.059,46705.71499,Yes,Stable
HR Manager,Telecommunications,Large,London,Medium,High,Data Analysis,9808884.514,116772.4347,Yes,Stable
Sales Manager,Manufacturing,Large,Paris,Medium,Low,Machine Learning,6163634.592,73376.60228,No,Growth
HR Manager,Finance,Large,London,Low,Medium,Machine Learning,9940633.619,118340.8764,Yes,Stable
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Low,Machine Learning,8219341.437,97849.30282,Yes,Stable
Sales Manager,Healthcare,Large,Dubai,Low,Medium,JavaScript,8617718.149,102591.8827,Yes,Growth
Operations Manager,Entertainment,Small,San Francisco,Medium,High,Machine Learning,9491031.372,112988.4687,Yes,Stable
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,High,Project Management,8522861.849,101462.6411,Yes,Stable
Software Engineer,Telecommunications,Small,New York,High,High,Python,8690448.843,103457.7243,Yes,Stable
Marketing Specialist,Technology,Medium,Sydney,Medium,Medium,Machine Learning,7283780.38,86711.67119,Yes,Growth
Operations Manager,Education,Small,Dubai,Medium,Low,UX/UI Design,8185243.385,97443.37363,Yes,Decline
